Ad System,Day,Campaign ID,Group ID,Ad ID,Keyword ID,Cost,Shows,Clicks
yandex.direct,2019-03-04,1329637,167879369,408701433,572135885,0.0,1,0
yandex.direct,2019-03-04,1329627,167879135,408701917,572132869,0.0,1,0
yandex.direct,2019-03-04,1329631,167879217,408701249,572134809,0.0,1,0
yandex.direct,2019-03-04,1329623,167879331,408701739,572135839,0.0,1,0
yandex.direct,2019-03-04,1329641,167879333,408701413,572133045,0.0,2,0
yandex.direct,2019-03-04,1329647,167879043,408702043,572136059,0.0,2,0
yandex.direct,2019-03-04,1329631,167879189,408702133,572134701,0.0,3,0
yandex.direct,2019-03-04,1329631,167879237,408701291,572135011,0.0,1,0
yandex.direct,2019-03-04,1329643,167879091,408701869,572134165,0.0,6,0
yandex.direct,2019-03-04,1329641,167879345,408701993,572133111,0.0,1,0
google.adwords,2019-03-04,1329699,167881551,414199141,572141661,69.46,1,1
google.adwords,2019-03-04,1329661,167881461,414198995,572141217,0.0,2,0
yandex.direct,2019-03-04,1329621,167879117,408702005,572132677,38.71,68,1
yandex.direct,2019-03-04,1329625,167879079,408701695,572136069,0.0,1,0
yandex.direct,2019-03-04,1329629,167879133,408701923,572132761,4.64,19,1
yandex.direct,2019-03-04,1329615,167879063,414198639,572133933,0.0,7,0
yandex.direct,2019-03-04,1329643,167879089,408701813,572134117,0.0,170,0
yandex.direct,2019-03-04,1329611,167879055,408701743,572133869,0.0,13,0
google.adwords,2019-03-04,1329689,167881669,414199405,572141999,0.0,8,0
yandex.direct,2019-03-04,1329611,167879055,408701743,572133877,0.0,4,0
yandex.direct,2019-03-04,1329637,167879371,408701445,572135903,0.0,1,0
yandex.direct,2019-03-04,1329631,167879205,408701225,572134769,0.0,2,0
google.adwords,2019-03-04,1329701,167881723,414199525,572139235,6.96,1,1
yandex.direct,2019-03-04,1329609,167879291,408701491,572132905,14.28,5,1
yandex.direct,2019-03-04,1329631,167879233,408701281,572134941,0.0,1,0
yandex.direct,2019-03-04,1329631,167879189,408702133,572134705,17.0,1,1
yandex.direct,2019-03-04,1329615,167879067,414198647,572134037,0.0,54,0
yandex.direct,2019-03-04,1329647,167879043,408702043,572136035,0.0,5,0
yandex.direct,2019-03-04,1329615,167879077,414198669,572134115,0.0,13,0
yandex.direct,2019-03-04,1329643,167879109,408701855,572134255,0.0,5,0
yandex.direct,2019-03-04,1329633,167879409,408701647,572133441,0.0,1,0
yandex.direct,2019-03-04,1329647,167879043,408702045,572136043,0.0,1,0
yandex.direct,2019-03-04,1329615,167879077,414198669,572134107,0.0,5,0
yandex.direct,2019-03-04,1329643,167879091,408701867,572134165,0.0,34,0
yandex.direct,2019-03-04,1329627,167879135,408701917,572132877,0.0,1,0
yandex.direct,2019-03-04,1329625,167879087,408701711,572132629,0.0,1,0
yandex.direct,2019-03-04,1329611,167879057,408701851,572133895,10.25,244,3
yandex.direct,2019-03-04,1329635,167879165,408701621,572134561,34.32,13,2
yandex.direct,2019-03-04,1329631,167879235,408701285,572134985,0.0,1,0
